concentration   strain  ploidy  rep RGR_fn  RGR_sa
0   9316    dip 1   0.151553    0.136095
0   9316    dip 2   0.126315    0.129124
0   9316    dip 3   0.191596    0.20108
0   9316    dip 4   0.147725    0.172458
0   9316    dip 5   0.164669    0.155738
0   9316    dip 6   0.15989 0.166783
0   9316    tet 1   0.124148    0.138534
0   9316    tet 2   0.125766    0.142333
0   9316    tet 3   0.15989 0.180422
0   9316    tet 4   0.099021    0.141263
0   9316    tet 5   0.092375    0.110061
0   9316    tet 6   0.160306    0.16119
0   13  dip 1   0.102935    0.149134
0   13  dip 2   0.16911 0.172207
0   13  dip 3   0.195268    0.189358
0   13  dip 4   0.190714    0.197636
0   13  dip 5   0.140928    0.152374
0   13  dip 6   0.176021    0.166079
0   13  tet 1   0.137869    0.127423
0   13  tet 2   0.14595 0.146185
0   13  tet 3   0.170893    0.174574
0   13  tet 4   0.149617    0.160661
0   13  tet 5   0.130899    0.146248
0   13  tet 6   0.13257 0.140819
0   9242    dip 1   0.155027    0.162142
0   9242    dip 2   0.178966    0.175046
0   9242    dip 3   0.187048    0.186921
0   9242    dip 4   0.156945    0.166851
0   9242    dip 5   0.17978 0.199597
0   9242    dip 6   0.195792    0.181506
0   9242    tet 1   0.16214 0.142398
0   9242    tet 2   0.154274    0.1294
0   9242    tet 3   0.159306    0.130014
0   9242    tet 4   0.125067    0.133406
0   9242    tet 5   0.166164    0.164136
0   9242    tet 6   0.142204    0.148484
0   9346    dip 1   0.099021    0.097324
0   9346    dip 2   0.127428    0.121502
0   9346    dip 3   0.112637    0.137576
0   9346    dip 4   0.13934 0.138387
0   9346    dip 5   0.160704    0.154146
0   9346    dip 6   0.13308 0.134395
0   9346    tet 1   0.099021    0.087014
0   9346    tet 2   0.103417    0.083116
0   9346    tet 3   0.091693    0.073916
0   9346    tet 4   0.130899    0.111219
0   9346    tet 5   0.121043    0.122719
0   9346    tet 6   0.136502    0.093622
2   9316    dip 1   0.166801    0.170558
2   9316    dip 2   0.188408    0.213044
2   9316    dip 3   0.121043    0.143871
2   9316    dip 4   0.175707    0.181141
2   9316    dip 5   0.179935    0.173759
2   9316    dip 6   0.136979    0.145428
2   9316    tet 1   0.156945    0.157608
2   9316    tet 2   0.154116    0.171512
2   9316    tet 3   0.123571    0.135693
2   9316    tet 4   0.106349    0.138279
2   9316    tet 5   0.095737    0.131856
2   9316    tet 6   0.172834    0.177757
2   13  dip 1   0.194232    0.190489
2   13  dip 2   0.203055    0.192856
2   13  dip 3   0.152743    0.171529
2   13  dip 4   0.209477    0.188448
2   13  dip 5   0.125607    0.152306
2   13  dip 6   0.190401    0.181806
2   13  tet 1   0.130899    0.137339
2   13  tet 2   0.153937    0.155073
2   13  tet 3   0.134426    0.133243
2   13  tet 4   0.132791    0.143011
2   13  tet 5   0.184681    0.12992
2   13  tet 6   0.143646    0.129199
2   9242    dip 1   0.156945    0.171695
2   9242    dip 2   0.198042    0.171675
2   9242    dip 3   0.125067    0.133147
2   9242    dip 4   0.144033    0.147922
2   9242    dip 5   0.184307    0.179867
2   9242    dip 6   0.207633    0.201009
2   9242    tet 1   0.159093    0.15409
2   9242    tet 2   0.13257 0.113909
2   9242    tet 3   0.102549    0.119573
2   9242    tet 4   0.162776    0.146374
2   9242    tet 5   0.148284    0.153407
2   9242    tet 6   0.136502    0.158551
2   9346    dip 1   0.136001    0.137429
2   9346    dip 2   0.152102    0.187798
2   9346    dip 3   0.178966    0.17653
2   9346    dip 4   0.176021    0.181856
2   9346    dip 5   0.189381    0.222067
2   9346    dip 6   0.167939    0.175867
2   9346    tet 1   0.160084    0.151822
2   9346    tet 2   0.149221    0.151399
2   9346    tet 3   0.143829    0.143192
2   9346    tet 4   0.115847    0.120041
2   9346    tet 5   0.156945    0.122649
2   9346    tet 6   0.118621    0.111992
2.5 9316    dip 1   0.180162    0.182142
2.5 9316    dip 2   0.102549    0.120381
2.5 9316    dip 3   0.135854    0.150642
2.5 9316    dip 4   0.13534 0.139967
2.5 9316    dip 5   0.171345    0.16968
2.5 9316    dip 6   0.127688    0.143844
2.5 9316    tet 1   0.16244 0.131618
2.5 9316    tet 2   0.108241    0.118087
2.5 9316    tet 3   0.095404    0.136793
2.5 9316    tet 4   0.143064    0.155418
2.5 9316    tet 5   0.156945    0.160773
2.5 9316    tet 6   0.153937    0.153637
2.5 13  dip 1   0.167531    0.158355
2.5 13  dip 2   0.118097    0.119264
2.5 13  dip 3   0.082831    0.13554
2.5 13  dip 4   0.119257    0.150019
2.5 13  dip 5   0.16911 0.157612
2.5 13  dip 6   0.156945    0.138308
2.5 13  tet 1   0.141663    0.140056
2.5 13  tet 2   0.120224    0.141985
2.5 13  tet 3   0.159093    0.157537
2.5 13  tet 4   0.125067    0.126832
2.5 13  tet 5   0.159429    0.135978
2.5 13  tet 6   0.130899    0.123232
2.5 9242    dip 1   0.143165    0.15627
2.5 9242    dip 2   0.114785    0.130246
2.5 9242    dip 3   0.143949    0.160471
2.5 9242    dip 4   0.185612    0.152827
2.5 9242    dip 5   0.183274    0.184614
2.5 9242    dip 6   0.147417    0.152995
2.5 9242    tet 1   0.111823    0.121007
2.5 9242    tet 2   0.145276    0.146208
2.5 9242    tet 3   0.174825    0.178828
2.5 9242    tet 4   0.143949    0.154508
2.5 9242    tet 5   0.183431    0.177664
2.5 9242    tet 6   0.166634    0.18147
2.5 9346    dip 1   0.171996    0.154198
2.5 9346    dip 2   0.142947    0.142774
2.5 9346    dip 3   0.148779    0.165161
2.5 9346    dip 4   0.195468    0.202884
2.5 9346    dip 5   0.189203    0.202183
2.5 9346    dip 6   0.155101    0.161389
2.5 9346    tet 1   0.122886    0.136397
2.5 9346    tet 2   0.124404    0.100132
2.5 9346    tet 3   0.118757    0.091835
2.5 9346    tet 4   0.099021    0.122629
2.5 9346    tet 5   0.110933    0.111263
2.5 9346    tet 6   0.109229    0.126202
3   9316    dip 1   0.153373    0.168678
3   9316    dip 2   0.139559    0.171864
3   9316    dip 3   0.147088    0.167694
3   9316    dip 4   0.103864    0.130068
3   9316    dip 5   0.134658    0.156229
3   9316    dip 6   0.178966    0.201668
3   9316    tet 1   0.107345    0.133772
3   9316    tet 2   0.166164    0.152229
3   9316    tet 3   0.142647    0.151505
3   9316    tet 4   0.137869    0.13929
3   9316    tet 5   0.133473    0.162043
3   9316    tet 6   0.152336    0.157392
3   13  dip 1   0.154659    0.181256
3   13  dip 2   0.101642    0.115856
3   13  dip 3   0.113762    0.110468
3   13  dip 4   0.155578    0.164251
3   13  dip 5   0.137685    0.120848
3   13  dip 6   0.134287    0.114741
3   13  tet 1   0.129837    0.120352
3   13  tet 2   0.107034    0.090204
3   13  tet 3   0.063902    0.099292
3   13  tet 4   0.093189    0.119604
3   13  tet 5   0.094337    0.083428
3   13  tet 6   0.094337    0.080951
3   9242    dip 1   0.161788    0.156078
3   9242    dip 2   0.144514    0.118968
3   9242    dip 3   0.15045 0.13716
3   9242    dip 4   0.120383    0.091302
3   9242    dip 5   0.136894    0.115435
3   9242    dip 6   0.171345    0.141556
3   9242    tet 1   0.143064    0.131564
3   9242    tet 2   0.133728    0.154246
3   9242    tet 3   0.167855    0.170864
3   9242    tet 4   0.177388    0.170813
3   9242    tet 5   0.1711  0.148798
3   9242    tet 6   0.138837    0.134728
3   9346    dip 1   0.149221    0.138552
3   9346    dip 2   0.117283    0.131573
3   9346    dip 3   0.148413    0.143325
3   9346    dip 4   0.151053    0.155499
3   9346    dip 5   0.149221    0.171482
3   9346    dip 6   0.131817    0.129731
3   9346    tet 1   0.107345    0.100152
3   9346    tet 2   0.110933    0.093284
3   9346    tet 3   0.102732    0.131229
3   9346    tet 4   0.099021    0.07501
3   9346    tet 5   0.136502    0.13578
3   9346    tet 6   0.113177    0.119193
4   9316    dip 1   0.125607    0.125173
4   9316    dip 2   0.166164    0.140226
4   9316    dip 3   0.124148    0.123311
4   9316    dip 4   0.128498    0.139644
4   9316    dip 5   0.127688    0.138147
4   9316    dip 6   0.121043    0.137959
4   9316    tet 1   0.155101    0.146459
4   9316    tet 2   0.121043    0.116484
4   9316    tet 3   0.149617    0.117826
4   9316    tet 4   0.125607    0.12415
4   9316    tet 5   0.159306    0.139679
4   9316    tet 6   0.181495    0.142117
4   13  dip 1   0.077304    0.094293
4   13  dip 2   0.083608    0.094844
4   13  dip 3   0.095211    0.084308
4   13  dip 4   0.111238    0.105249
4   13  dip 5   0.118385    0.103353
4   13  dip 6   0.099021    0.105945
4   13  tet 1   0.099021    0.083398
4   13  tet 2   0.071872    0.051654
4   13  tet 3   0.095579    0.070885
4   13  tet 4   0.072975    0.075335
4   13  tet 5   0.092575    0.08147
4   13  tet 6   0.067918    0.058165
4   9242    dip 1   0.113898    0.062056
4   9242    dip 2   0.082474    0.081812
4   9242    dip 3   0.135434    0.084119
4   9242    dip 4   0.097224    0.069906
4   9242    dip 5   0.085405    0.078641
