,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
A3.fcs,16579,864,1,A,1,0,1,1,A10,1
A4.fcs,20375,3572,1,A,1,0,2,1,A10,1
A5.fcs,18968,1007,1,A,2,0,1,1,A20,1
A6.fcs,15843,4660,1,A,2,0,2,1,A20,1
A7.fcs,27700,1482,1,A,3,0,1,1,A30,1
A8.fcs,27409,1451,1,A,3,0,2,1,A30,1
A9.fcs,20665,5024,1,A,4,0,1,1,A40,1
A10.fcs,17867,5692,1,A,4,0,2,1,A40,1
A11.fcs,18567,2655,1,A,5,0,1,1,A50,1
A12.fcs,12695,3454,1,A,5,0,2,1,A50,1
B1.fcs,18290,3028,1,A,6,0,1,1,A60,1
B2.fcs,13098,4901,1,A,6,0,2,1,A60,1
B3.fcs,26134,1229,1,B,1,0,1,1,B10,1
B4.fcs,18996,789,1,B,1,0,2,1,B10,1
B5.fcs,11939,9573,1,B,2,0,1,1,B20,1
B6.fcs,13286,6370,1,B,2,0,2,1,B20,1
B7.fcs,22053,10756,1,B,3,0,1,1,B30,1
B8.fcs,24302,999,1,B,3,0,2,1,B30,1
B9.fcs,32755,1635,1,B,4,0,1,1,B40,1
B10.fcs,25281,4112,1,B,4,0,2,1,B40,1
B11.fcs,18838,5370,1,B,5,0,1,1,B50,1
B12.fcs,12802,3538,1,B,5,0,2,1,B50,1
C1.fcs,11160,4805,1,B,6,0,1,1,B60,1
C2.fcs,19094,812,1,B,6,0,2,1,B60,1
C3.fcs,19844,724,1,C,1,0,1,1,C10,1
C4.fcs,15626,6128,1,C,1,0,2,1,C10,1
C5.fcs,31345,1186,1,C,2,0,1,1,C20,1
C6.fcs,38819,1632,1,C,2,0,2,1,C20,1
C7.fcs,26220,2013,1,C,3,0,1,1,C30,1
C8.fcs,20529,3669,1,C,3,0,2,1,C30,1
C9.fcs,13295,8175,1,C,4,0,1,1,C40,1
C10.fcs,31147,1203,1,C,4,0,2,1,C40,1
A2.fcs,24954,1322,2,C,5,0,2,1,C50,2
A3.fcs,27683,4195,2,C,6,0,1,1,C60,2
A4.fcs,23193,4868,2,C,6,0,2,1,C60,2
A5.fcs,25297,3940,2,D,1,0,1,1,D10,2
A6.fcs,24392,5091,2,D,1,0,2,1,D10,2
A7.fcs,24368,3497,2,D,2,0,1,1,D20,2
A8.fcs,49102,2664,2,D,2,0,2,1,D20,2
A9.fcs,27409,7668,2,D,3,0,1,1,D30,2
