,nuclei_fA/diploid_fA_lower/diploid_fA_upper- | Count,nuclei_fA/tetraploid_fA | Count,line,rep,salt,week,plate
B1.fcs,756,6638,A,1,0,1,1
B2.fcs,250,4325,A,2,0,1,1
B3.fcs,282,5915,A,3,0,1,1
B4.fcs,557,4778,A,4,0,1,1
B5.fcs,713,4875,A,5,0,1,1
B6.fcs,617,4476,A,6,0,1,1
B7.fcs,1020,6598,B,1,0,1,1
B8.fcs,413,7060,B,2,0,1,1
B9.fcs,1284,6474,B,3,0,1,1
B10.fcs,396,7779,B,4,0,1,1
B11.fcs,454,7119,B,5,0,1,1
B12.fcs,898,6792,B,6,0,1,1
C1.fcs,835,7657,C,1,0,1,1
C2.fcs,1249,6301,C,2,0,1,1
C3.fcs,1383,6629,C,3,0,1,1
C4.fcs,1204,6518,C,4,0,1,1
C5.fcs,832,7141,C,5,0,1,1
C6.fcs,1402,6290,C,6,0,1,1
C7.fcs,495,6765,D,1,0,1,1
C8.fcs,461,7189,D,2,0,1,1
C9.fcs,511,7062,D,3,0,1,1
C10.fcs,1760,6108,D,4,0,1,1
C11.fcs,713,6370,D,5,0,1,1
C12.fcs,1167,6472,D,6,0,1,1
D1.fcs,924,6829,A,1,1,1,1
D2.fcs,760,6855,A,2,1,1,1
D3.fcs,384,7168,A,3,1,1,1
D4.fcs,417,7216,A,4,1,1,1
D5.fcs,490,6977,A,5,1,1,1
D6.fcs,1050,6532,A,6,1,1,1
D7.fcs,386,7151,B,1,1,1,1
D8.fcs,906,6911,B,2,1,1,1
D9.fcs,564,7227,B,3,1,1,1
D10.fcs,489,7350,B,4,1,1,1
D11.fcs,480,4145,B,5,1,1,1
D12.fcs,840,6380,B,6,1,1,1
E1.fcs,944,2027,C,1,1,1,1
E2.fcs,875,3021,C,2,1,1,1
E3.fcs,1159,2093,C,3,1,1,1
E4.fcs,222,2196,C,4,1,1,1
E5.fcs,1171,1434,C,5,1,1,1
E6.fcs,218,2340,C,6,1,1,1
E7.fcs,439,2674,D,1,1,1,1
