ploidy,line,count,rep,envelope,weight,dry weight
D,A,100,1,0.5915,0.6096,0.0181
D,A,100,2,0.5953,0.6088,0.0135
D,A,100,3,0.5795,0.5945,0.0150
D,A,250,1,0.6255,0.6627,0.0372
D,A,250,2,0.6172,0.6599,0.0427
D,A,250,3,0.6440,0.6857,0.0417
D,A,500,1,0.8611,0.9413,0.0802
D,A,500,2,0.8086,0.8846,0.0760
D,A,500,3,0.8623,0.9428,0.0805
D,A,1000,1,0.8438,0.9993,0.1555
D,A,1000,2,0.8118,0.9678,0.1560
D,A,1000,3,0.8199,0.9727,0.1528
T,A,100,1,0.6117,0.6558,0.0441
T,A,100,2,0.6726,0.7162,0.0436
T,A,100,3,0.5783,0.6239,0.0456
T,A,250,1,0.5927,0.6816,0.0889
T,A,250,2,0.6146,0.7322,0.1176
T,A,250,3,0.6394,0.749,0.1096
T,A,500,1,0.7794,0.9226,0.1432
T,A,500,2,0.8100,1.0152,0.2052
T,A,500,3,0.8016,1.0259,0.2243
T,A,1000,1,0.8147,1.0926,0.2779
T,A,1000,2,0.8118,1.1083,0.2965
T,A,1000,3,0.7908,1.1164,0.3256
D,B,100,1,0.6277,0.6457,0.0180
D,B,100,2,0.6005,0.6181,0.0176
D,B,100,3,0.6045,0.6225,0.0180
D,B,250,1,0.6148,0.6634,0.0486
D,B,250,2,0.5910,0.6396,0.0486
D,B,250,3,0.5653,0.6087,0.0434
D,B,500,1,0.7850,0.8639,0.0789
D,B,500,2,0.7907,0.8778,0.0871
D,B,500,3,0.7413,0.8356,0.0943
D,B,1000,1,0.8261,0.9807,0.1546
D,B,1000,2,0.7760,0.9303,0.1543
D,B,1000,3,0.7388,0.8994,0.1606
T,B,100,1,0.5993,0.6352,0.0359
T,B,100,2,0.6131,0.6461,0.0330
T,B,100,3,0.6147,0.6493,0.0346
T,B,250,1,0.5743,0.6547,0.0804
T,B,250,2,0.6168,0.7035,0.0867
T,B,250,3,0.6170,0.7011,0.0841
T,B,500,1,0.8147,0.9657,0.1510
T,B,500,2,0.8055,0.9765,0.1710
T,B,500,3,0.8080,0.9787,0.1707
T,B,1000,1,0.7919,1.0512,0.2593
T,B,1000,2,0.8035,1.126,0.3225
T,B,1000,3,0.8060,1.1506,0.3446
D,C,100,1,0.5959,0.6227,0.0268
D,C,100,2,0.6572,0.685,0.0278
D,C,100,3,0.6110,0.6407,0.0297
D,C,250,1,0.5938,0.6659,0.0721
D,C,250,2,0.5794,0.6494,0.0700
D,C,250,3,0.5406,0.609,0.0684
D,C,500,1,0.7397,0.8627,0.1230
D,C,500,2,0.7413,0.862,0.1207
D,C,500,3,0.7426,0.853,0.1104
D,C,1000,1,0.7892,1.0653,0.2761
D,C,1000,2,0.7331,0.9413,0.2082
D,C,1000,3,0.7660,0.9771,0.2111
T,C,100,1,0.5958,0.6576,0.0618
T,C,100,2,0.5970,0.6558,0.0588
T,C,100,3,0.5927,0.6528,0.0601
T,C,250,1,0.5913,0.7373,0.1460
T,C,250,2,0.6269,0.7663,0.1394
T,C,250,3,0.6215,0.7665,0.1450
T,C,500,1,0.8041,1.1178,0.3137
T,C,500,2,0.8200,1.0851,0.2651
T,C,500,3,0.8726,1.14,0.2674
T,C,1000,1,0.8107,1.2333,0.4226
T,C,1000,2,0.8141,1.3127,0.4986
T,C,1000,3,0.8091,1.2802,0.4711
D,D,100,1,0.5898,0.6197,0.0299
D,D,100,2,0.5836,0.6186,0.0350
D,D,100,3,0.5959,0.6329,0.0370
D,D,250,1,0.6041,0.7036,0.0995
D,D,250,2,0.5915,0.6855,0.0940
D,D,250,3,0.5770,0.6725,0.0955
D,D,500,1,0.7510,0.878,0.1270
D,D,500,2,0.7923,0.9575,0.1652
D,D,500,3,0.7900,0.9581,0.1681
D,D,1000,1,0.7111,0.9846,0.2735
D,D,1000,2,0.7602,1.0228,0.2626
D,D,1000,3,0.8384,1.2275,0.3891
T,D,100,1,0.6155,0.6584,0.0429
T,D,100,2,0.6048,0.6505,0.0457
T,D,100,3,0.6028,0.667,0.0642
T,D,250,1,0.5811,0.7236,0.1425
T,D,250,2,0.5573,0.7333,0.1760
T,D,250,3,0.5878,0.7236,0.1358
T,D,500,1,0.8586,1.1436,0.2850
T,D,500,2,0.8476,1.1177,0.2701
T,D,500,3,0.8474,1.1405,0.2931
T,D,1000,1,0.8447,1.4358,0.5911
T,D,1000,2,0.8545,1.4519,0.5974
T,D,1000,3,0.8011,1.2002,0.3991
