line,rep,salt,week,weight,size
A,1,0,1,0.3381,small
A,2,0,1,0.3427,small
A,3,0,1,0.355,small
A,4,0,1,0.3442,small
A,5,0,1,0.3427,small
A,6,0,1,0.3389,small
B,1,0,1,0.342,small
B,2,0,1,0.3417,small
B,3,0,1,0.3371,small
B,4,0,1,0.3487,small
B,5,0,1,0.333,small
B,6,0,1,0.3436,small
C,1,0,1,0.3485,small
C,2,0,1,0.3628,small
C,3,0,1,0.3475,small
C,4,0,1,0.3472,small
C,5,0,1,0.3461,small
C,6,0,1,0.3352,small
D,1,0,1,0.349,small
D,2,0,1,0.3468,small
D,3,0,1,0.3469,small
D,4,0,1,0.3471,small
D,5,0,1,0.3502,small
D,6,0,1,0.3414,small
A,1,1,1,0.342,small
A,2,1,1,0.3347,small
A,3,1,1,0.3252,small
A,4,1,1,0.347,small
A,5,1,1,0.3464,small
A,6,1,1,0.3423,small
B,1,1,1,0.3403,small
B,2,1,1,0.3443,small
B,3,1,1,0.3473,small
B,4,1,1,0.3202,small
B,5,1,1,0.3424,small
B,6,1,1,0.3445,small
C,1,1,1,0.3445,small
C,2,1,1,0.3446,small
C,3,1,1,0.3437,small
C,4,1,1,0.3444,small
C,5,1,1,0.3441,small
C,6,1,1,0.3459,small
D,1,1,1,0.3424,small
D,2,1,1,0.3501,small
D,3,1,1,0.3499,small
D,4,1,1,0.346,small
D,5,1,1,0.3408,small
D,6,1,1,0.3313,small
A,1,0,2,0.356,small
A,2,0,2,0.3556,small
A,3,0,2,0.348,small
A,4,0,2,0.3503,small
A,5,0,2,0.3581,small
A,6,0,2,0.3524,small
B,1,0,2,0.3644,small
B,2,0,2,0.3553,small
B,3,0,2,0.3635,small
B,4,0,2,0.3582,small
B,5,0,2,0.366,small
B,6,0,2,0.3384,small
C,1,0,2,0.3555,small
C,2,0,2,0.3671,small
C,3,0,2,0.3587,small
C,4,0,2,0.3726,small
C,5,0,2,0.3668,small
C,6,0,2,0.3652,small
D,1,0,2,0.3726,small
D,2,0,2,0.3646,small
D,3,0,2,0.3467,small
D,4,0,2,0.3541,small
D,5,0,2,0.354,small
D,6,0,2,0.3582,small
A,1,1,2,0.3322,small
A,2,1,2,0.3566,small
A,3,1,2,0.3651,small
A,4,1,2,0.3673,small
A,5,1,2,0.3579,small
A,6,1,2,0.3434,small
B,1,1,2,0.3728,small
B,2,1,2,0.3335,small
B,3,1,2,0.3746,small
B,4,1,2,0.3487,small
B,5,1,2,0.3579,small
B,6,1,2,0.3507,small
C,1,1,2,0.3631,small
C,2,1,2,0.354,small
C,3,1,2,0.3685,small
C,4,1,2,0.3644,small
C,5,1,2,0.3437,small
C,6,1,2,0.3681,small
D,1,1,2,0.3631,small
D,2,1,2,0.368,small
D,3,1,2,0.3536,small
D,4,1,2,0.3789,small
D,5,1,2,0.3706,small
D,6,1,2,0.3678,small
A,1,0,3,0.3618,small
A,2,0,3,0.3579,small
A,3,0,3,0.3585,small
A,4,0,3,0.3714,small
A,5,0,3,0.3709,small
A,6,0,3,0.3822,small
B,1,0,3,0.3546,small
B,2,0,3,0.3679,small
B,3,0,3,0.3791,small
B,4,0,3,0.3564,small
B,5,0,3,0.361,small
B,6,0,3,0.3767,small
C,1,0,3,0.3797,small
C,2,0,3,0.3755,small
C,3,0,3,0.3535,small
C,4,0,3,0.3489,small
C,5,0,3,0.3618,small
C,6,0,3,0.3681,small
D,1,0,3,0.3755,small
D,2,0,3,0.3659,small
D,3,0,3,0.4018,small
D,4,0,3,0.3419,small
D,5,0,3,0.375,small
D,6,0,3,0.3819,small
A,1,1,3,0.3307,small
A,2,1,3,0.3512,small
A,3,1,3,0.3666,small
A,4,1,3,0.3647,small
A,5,1,3,0.3726,small
A,6,1,3,0.3421,small
B,1,1,3,0.3602,small
B,2,1,3,0.3695,small
B,3,1,3,0.3578,small
B,4,1,3,0.3381,small
B,5,1,3,0.3391,small
B,6,1,3,0.3358,small
C,1,1,3,0.3468,small
C,2,1,3,0.3673,small
C,3,1,3,0.3577,small
C,4,1,3,0.3443,small
C,5,1,3,0.3519,small
C,6,1,3,0.3472,small
D,1,1,3,0.3482,small
D,2,1,3,0.3642,small
D,3,1,3,0.3462,small
D,4,1,3,0.3337,small
D,5,1,3,0.3552,small
D,6,1,3,0.3381,small
A,1,0,4,0.3562,small
A,2,0,4,0.3517,small
A,3,0,4,0.3532,small
A,4,0,4,0.3734,small
A,5,0,4,0.3584,small
A,6,0,4,0.3575,small
B,1,0,4,0.3715,small
B,2,0,4,0.3632,small
B,3,0,4,0.3404,small
B,4,0,4,0.3696,small
B,5,0,4,0.3393,small
B,6,0,4,0.3395,small
C,1,0,4,0.3333,small
C,2,0,4,0.3692,small
C,3,0,4,0.3694,small
C,4,0,4,0.3553,small
C,5,0,4,0.3576,small
C,6,0,4,0.3554,small
D,1,0,4,0.3632,small
D,2,0,4,0.3633,small
D,3,0,4,0.3797,small
D,4,0,4,0.3588,small
D,5,0,4,0.3598,small
D,6,0,4,0.3781,small
A,1,1,4,0.3341,small
A,2,1,4,0.3657,small
A,3,1,4,0.3857,small
A,4,1,4,0.3519,small
A,5,1,4,0.3535,small
A,6,1,4,0.3563,small
B,1,1,4,0.3672,small
B,2,1,4,0.3536,small
B,3,1,4,0.3654,small
B,4,1,4,0.3725,small
B,5,1,4,0.3697,small
B,6,1,4,0.3479,small
C,1,1,4,0.3647,small
C,2,1,4,0.3581,small
C,3,1,4,0.3674,small
C,4,1,4,0.3474,small
C,5,1,4,0.3406,small
C,6,1,4,0.3527,small
D,1,1,4,0.3372,small
D,2,1,4,0.3613,small
D,3,1,4,0.3493,small
D,4,1,4,0.3574,small
D,5,1,4,0.3838,small
D,6,1,4,0.3357,small
A,1,0,5,0.3625,small
A,2,0,5,0.3726,small
A,3,0,5,0.3734,small
A,4,0,5,0.3778,small
A,5,0,5,0.3649,small
A,6,0,5,0.3587,small
B,1,0,5,0.3842,small
B,2,0,5,0.3792,small
B,3,0,5,0.3671,small
B,4,0,5,0.3585,small
B,5,0,5,0.3719,small
B,6,0,5,0.3299,small
C,1,0,5,0.3878,small
C,2,0,5,0.3772,small
C,3,0,5,0.3836,small
C,4,0,5,0.348,small
C,5,0,5,0.3683,small
C,6,0,5,0.3571,small
D,1,0,5,0.3661,small
D,2,0,5,0.3834,small
D,3,0,5,0.3578,small
D,4,0,5,0.3701,small
D,5,0,5,0.3764,small
D,6,0,5,0.3727,small
A,1,1,5,0.35,small
A,2,1,5,0.373,small
A,3,1,5,0.3713,small
A,4,1,5,0.3598,small
A,5,1,5,0.36,small
A,6,1,5,0.363,small
B,1,1,5,0.3804,small
B,2,1,5,0.3605,small
B,3,1,5,0.3486,small
B,4,1,5,0.3695,small
B,5,1,5,0.3597,small
B,6,1,5,0.3658,small
C,1,1,5,0.3621,small
C,2,1,5,0.374,small
C,3,1,5,0.362,small
C,4,1,5,,small
C,5,1,5,0.3439,small
C,6,1,5,0.3875,small
D,1,1,5,0.3468,small
D,2,1,5,0.363,small
D,3,1,5,0.3599,small
D,4,1,5,0.3311,small
D,5,1,5,0.3481,small
D,6,1,5,0.3191,small
A,1,0,6,0.3886,small
A,2,0,6,0.3863,small
A,3,0,6,0.3581,small
A,4,0,6,0.3666,small
A,5,0,6,0.3915,small
A,6,0,6,0.3879,small
B,1,0,6,0.3789,small
B,2,0,6,0.3776,small
B,3,0,6,0.3849,small
B,4,0,6,0.3856,small
B,5,0,6,0.3769,small
B,6,0,6,0.36,small
C,1,0,6,0.3671,small
C,2,0,6,0.3534,small
C,3,0,6,0.3787,small
C,4,0,6,0.3769,small
C,5,0,6,0.3662,small
C,6,0,6,0.3854,small
D,1,0,6,0.3433,small
D,2,0,6,0.3809,small
D,3,0,6,0.3801,small
D,4,0,6,0.3654,small
D,5,0,6,0.3723,small
D,6,0,6,0.355,small
A,1,1,6,0.3938,small
A,2,1,6,0.3837,small
A,3,1,6,0.3528,small
A,4,1,6,0.3804,small
A,5,1,6,0.3807,small
A,6,1,6,0.3804,small
B,1,1,6,0.3724,small
B,2,1,6,0.3756,small
B,3,1,6,0.3652,small
B,4,1,6,0.3684,small
B,5,1,6,0.3674,small
B,6,1,6,0.3809,small
C,1,1,6,0.4062,small
C,2,1,6,0.3682,small
C,3,1,6,0.3776,small
C,4,1,6,0.382,small
C,5,1,6,0.3451,small
C,6,1,6,,small
D,1,1,6,0.3641,small
D,2,1,6,0.3851,small
D,3,1,6,0.3528,small
D,4,1,6,0.3611,small
D,5,1,6,0.3517,small
D,6,1,6,0.3526,small
A,1,0,7,0.3671,small
A,2,0,7,0.3762,small
A,3,0,7,0.3654,small
A,4,0,7,0.3774,small
A,5,0,7,0.4052,small
A,6,0,7,0.3857,small
B,1,0,7,0.3657,small
B,2,0,7,0.3807,small
B,3,0,7,0.3824,small
B,4,0,7,0.4037,small
B,5,0,7,0.3624,small
B,6,0,7,0.3617,small
C,1,0,7,0.3665,small
C,2,0,7,0.3719,small
C,3,0,7,0.369,small
C,4,0,7,0.3693,small
C,5,0,7,0.3664,small
C,6,0,7,0.3798,small
D,1,0,7,0.3834,small
D,2,0,7,0.3834,small
D,3,0,7,0.3818,small
D,4,0,7,0.3678,small
D,5,0,7,0.377,small
D,6,0,7,0.3912,small
A,1,1,7,0.3873,small
A,2,1,7,0.3699,small
A,3,1,7,0.3699,small
A,4,1,7,0.3957,small
A,5,1,7,0.3726,small
A,6,1,7,0.3869,small
B,1,1,7,0.4084,small
B,2,1,7,0.379,small
B,3,1,7,0.3943,small
B,4,1,7,0.3783,small
B,5,1,7,0.3821,small
B,6,1,7,0.3769,small
C,1,1,7,0.3663,small
C,2,1,7,0.3804,small
C,3,1,7,0.3861,small
C,4,1,7,0.3947,small
C,5,1,7,0.3734,small
C,6,1,7,0.4079,small
D,1,1,7,0.3781,small
D,2,1,7,0.3631,small
D,3,1,7,0.3593,small
D,4,1,7,0.3509,small
D,5,1,7,0.3724,small
D,6,1,7,0.3822,small
A,1,0,8,0.4051,small
A,2,0,8,0.3755,small
A,3,0,8,0.3877,small
A,4,0,8,0.3648,small
A,5,0,8,0.3773,small
A,6,0,8,0.3733,small
B,1,0,8,0.3684,small
B,2,0,8,0.3643,small
B,3,0,8,0.3628,small
B,4,0,8,0.3662,small
B,5,0,8,0.3993,small
B,6,0,8,0.3539,small
C,1,0,8,0.3897,small
C,2,0,8,0.3549,small
C,3,0,8,0.3569,small
C,4,0,8,0.3966,small
C,5,0,8,0.38,small
C,6,0,8,0.3799,small
D,1,0,8,0.3621,small
D,2,0,8,0.3577,small
D,3,0,8,0.3826,small
D,4,0,8,0.36,small
D,5,0,8,0.376,small
D,6,0,8,0.354,small
A,1,1,8,0.3704,small
A,2,1,8,0.3869,small
A,3,1,8,0.4157,small
A,4,1,8,0.3827,small
A,5,1,8,0.3707,small
A,6,1,8,0.3845,small
B,1,1,8,0.387,small
B,2,1,8,0.3819,small
B,3,1,8,0.3859,small
B,4,1,8,0.3955,small
B,5,1,8,0.3874,small
B,6,1,8,0.3899,small
C,1,1,8,0.38,small
C,2,1,8,0.3903,small
C,3,1,8,0.3585,small
C,4,1,8,0.3986,small
C,5,1,8,0.3547,small
C,6,1,8,0.3541,small
D,1,1,8,0.3691,small
D,2,1,8,0.3906,small
D,3,1,8,0.3481,small
D,4,1,8,0.3425,small
D,5,1,8,0.3665,small
D,6,1,8,0.3678,small
A,1,0,9,0.3781,small
A,2,0,9,0.4018,small
A,3,0,9,0.3655,small
A,4,0,9,0.4168,small
A,5,0,9,0.3947,small
A,6,0,9,0.3684,small
B,1,0,9,0.3995,small
B,2,0,9,0.411,small
B,3,0,9,0.4067,small
B,4,0,9,0.3892,small
B,5,0,9,0.3707,small
B,6,0,9,0.3696,small
C,1,0,9,0.3709,small
C,2,0,9,0.4044,small
C,3,0,9,0.382,small
C,4,0,9,0.3853,small
C,5,0,9,0.3889,small
C,6,0,9,0.3805,small
D,1,0,9,0.3602,small
D,2,0,9,0.3593,small
D,3,0,9,0.3756,small
D,4,0,9,0.369,small
D,5,0,9,0.3653,small
D,6,0,9,0.3818,small
A,1,1,9,0.3783,small
A,2,1,9,0.379,small
A,3,1,9,0.3716,small
A,4,1,9,0.3881,small
A,5,1,9,0.3802,small
A,6,1,9,0.3613,small
B,1,1,9,0.3749,small
B,2,1,9,0.3683,small
B,3,1,9,0.3638,small
B,4,1,9,0.3605,small
B,5,1,9,0.3629,small
B,6,1,9,0.3917,small
C,1,1,9,0.3549,small
C,2,1,9,0.3575,small
C,3,1,9,0.3857,small
C,4,1,9,0.3834,small
C,5,1,9,0.3709,small
C,6,1,9,0.4144,small
D,1,1,9,0.3679,small
D,2,1,9,0.3362,small
D,3,1,9,0.3428,small
D,4,1,9,0.3495,small
D,5,1,9,0.3395,small
D,6,1,9,0.3514,small
