nr,size,weight
1,small,0.3225
2,small,0.345
3,small,0.3386
4,small,0.3399
5,small,0.3373
6,small,0.3311
7,small,0.3289
8,small,0.3369
9,small,0.3306
10,small,0.3333
11,small,0.3453
12,small,0.3333
13,small,0.3319
14,small,0.3473
15,small,0.3397
16,small,0.337
17,small,0.3377
18,small,0.3378
19,small,0.3347
20,small,0.3222
21,small,0.3357
22,small,0.331
23,small,0.3379
24,small,0.3449
25,small,0.323
26,small,0.3431
27,small,0.3411
28,small,0.3422
29,small,0.3425
30,small,0.3497
31,big,0.8057
32,big,0.7805
33,big,0.7892
34,big,0.8033
35,big,0.8043
36,big,0.8156
37,big,0.8188
38,big,0.7898
39,big,0.7982
40,big,0.8047
41,big,0.8141
42,big,0.7955
43,big,0.7925
44,big,0.7943
45,big,0.7906
46,big,0.7831
47,big,0.7929
48,big,0.8043
49,big,0.8009
50,big,0.7829
51,big,0.7828
52,big,0.7854
53,big,0.794
54,big,0.795
55,big,0.7816
56,big,0.7753
57,big,0.7861
58,big,0.7811
59,big,0.7888
60,big,0.7823
