strain,ploidy,rep,NaCl,start,end,count0,count7,dry,howdry,batch,wash
0013,dip,1,0,18-Nov,25-Nov,16,38,0,0,a,
0013,dip,2,0,18-Nov,25-Nov,16,36,0,0,a,
0013,dip,3,0,18-Nov,25-Nov,16,36,0,0,a,
0013,tet,1,0,18-Nov,25-Nov,16,32,0,0,a,
0013,tet,2,0,18-Nov,25-Nov,16,31,0,0,a,
0013,tet,3,0,18-Nov,25-Nov,16,20,1,2,a,
0013,dip,1,2.5,18-Nov,25-Nov,16,35,0,0,a,
0013,dip,2,2.5,18-Nov,25-Nov,16,27,0,0,a,
0013,dip,3,2.5,18-Nov,25-Nov,16,33,0,0,a,
0013,tet,1,2.5,18-Nov,25-Nov,16,33,0,0,a,
0013,tet,2,2.5,18-Nov,25-Nov,16,21,1,3,a,
0013,tet,3,2.5,18-Nov,25-Nov,16,37,0,0,a,
9316,dip,1,0,18-Nov,25-Nov,16,38,0,0,a,
9316,dip,2,0,18-Nov,25-Nov,16,33,1,2,a,
9316,dip,3,0,18-Nov,25-Nov,16,38,0,0,a,
9316,tet,1,0,18-Nov,25-Nov,16,31,0,0,a,
9316,tet,2,0,18-Nov,25-Nov,16,34,0,0,a,
9316,tet,3,0,18-Nov,25-Nov,16,32,0,0,a,
9316,dip,1,2.5,18-Nov,25-Nov,16,47,0,0,a,
9316,dip,2,2.5,18-Nov,25-Nov,16,29,0,0,a,
9316,dip,3,2.5,18-Nov,25-Nov,16,30,0,0,a,
9316,tet,1,2.5,18-Nov,25-Nov,16,33,0,0,a,
9316,tet,2,2.5,18-Nov,25-Nov,16,25,1,2,a,
9316,tet,3,2.5,18-Nov,25-Nov,16,31,0,0,a,
9346,dip,1,0,18-Nov,25-Nov,16,33,1,3,a,
9346,dip,2,0,18-Nov,25-Nov,16,34,0,0,a,
9346,dip,3,0,18-Nov,25-Nov,16,34,0,0,a,
9346,tet,1,0,18-Nov,25-Nov,16,42,0,0,a,
9346,tet,2,0,18-Nov,25-Nov,16,35,0,0,a,
9346,tet,3,0,18-Nov,25-Nov,16,37,0,0,a,
9346,dip,1,2.5,18-Nov,25-Nov,16,25,0,1,a,
9346,dip,2,2.5,18-Nov,25-Nov,16,28,0,0,a,
9346,dip,3,2.5,18-Nov,25-Nov,16,29,0,0,a,
9346,tet,1,2.5,18-Nov,25-Nov,16,31,0,1,a,
9346,tet,2,2.5,18-Nov,25-Nov,16,37,0,0,a,
9346,tet,3,2.5,18-Nov,25-Nov,16,32,0,1,a,
9242,tet,1,2.5,18-Nov,25-Nov,16,31,0,0,a,
9242,tet,2,2.5,18-Nov,25-Nov,16,36,0,0,a,
9242,tet,3,2.5,18-Nov,25-Nov,16,28,0,0,a,
9242,dip,1,0,18-Nov,25-Nov,16,38,0,0,a,
9242,dip,2,0,18-Nov,25-Nov,16,34,0,0,a,
9242,dip,3,0,18-Nov,25-Nov,16,41,0,0,a,
0013,dip,4,0,18-Nov,25-Nov,16,34,0,0,a,
0013,dip,5,0,18-Nov,25-Nov,16,42,0,0,a,
0013,dip,6,0,18-Nov,25-Nov,16,43,0,0,a,
0013,tet,4,0,18-Nov,25-Nov,16,41,0,0,a,
0013,tet,5,0,18-Nov,25-Nov,16,33,0,0,a,
0013,tet,6,0,18-Nov,25-Nov,16,33,0,0,a,
0013,dip,4,2.5,18-Nov,25-Nov,16,44,0,0,a,
0013,dip,5,2.5,18-Nov,25-Nov,16,37,0,0,a,
0013,dip,6,2.5,18-Nov,25-Nov,16,37,0,0,a,
0013,tet,4,2.5,18-Nov,25-Nov,16,32,0,1,a,
0013,tet,5,2.5,18-Nov,25-Nov,16,32,0,0,a,
0013,tet,6,2.5,18-Nov,25-Nov,16,28,1,2,a,
9316,dip,4,0,18-Nov,25-Nov,16,51,0,0,a,
9316,dip,5,0,18-Nov,25-Nov,16,36,0,1,a,
9316,dip,6,0,18-Nov,25-Nov,16,42,0,0,a,
9316,tet,4,0,18-Nov,25-Nov,16,45,0,0,a,
9316,tet,5,0,18-Nov,25-Nov,16,42,0,0,a,
9316,tet,6,0,18-Nov,25-Nov,16,42,0,0,a,
9316,dip,4,2.5,18-Nov,25-Nov,16,46,0,1,a,
9316,dip,5,2.5,18-Nov,25-Nov,16,37,0,1,a,
9316,dip,6,2.5,18-Nov,25-Nov,16,55,0,0,a,
9316,tet,4,2.5,18-Nov,25-Nov,16,42,0,0,a,
9316,tet,5,2.5,18-Nov,25-Nov,16,39,0,0,a,
9316,tet,6,2.5,18-Nov,25-Nov,16,31,0,1,a,
9346,dip,4,0,18-Nov,25-Nov,16,49,0,0,a,
9346,dip,5,0,18-Nov,25-Nov,16,40,0,0,a,
9346,dip,6,0,18-Nov,25-Nov,16,41,0,0,a,
9346,tet,4,0,18-Nov,25-Nov,16,33,0,0,a,
9346,tet,5,0,18-Nov,25-Nov,16,41,0,0,a,
